Carga,Placa,Nº Pedido,Cód. Cliente,Nome Cliente,Grupo Cliente,Endereço de Entrega,Bairro de Entrega,Cidade de Entrega,Qtde. dos Itens,Peso dos Itens,Latitude,Longitude,Veiculo,Data Roteirizacao
,FTY6B82,3725763,204914,FPJ RESTAURANTE LTDA,Nenhum,"Rua RIBEIRO DE LIMA, 610",Bom Retiro,São Paulo,8,160,-23.5312906,-46.6386411,78,2025-04-17 12:55:48
,FTY6B82,3728354,8525,MERCADO E AÇOUGUE R.T.N LTDA,Nenhum,"Rua São Caetano, 352",Luz,São Paulo,9,180,-23.535119,-46.6296567,78,2025-04-17 12:55:48
,FTY6B82,3728238,204593,SIVANILDO SILVA DOS SANTOS,Nenhum,"Rua DJALMA DUTRA, 266",Luz,São Paulo,3,60,-23.5337146,-46.6286686,78,2025-04-17 12:55:48
,FTY6B82,3727571,214529,ANA PAULA DOS SANTOS MINIMERCADO,Nenhum,"Rua SAO CAETANO, 638",Luz,São Paulo,7,140,-23.5355583,-46.6268669,78,2025-04-17 12:55:48
,FTY6B82,3727837,14264,EDU MERCADO LTDA ME,Nenhum,"Rua JOÃO TEODORO, 842",Brás,São Paulo,14,280,-23.5345723,-46.6244535,78,2025-04-17 12:55:48
,FTY6B82,3728419,212251,BAR E RESTAURANTE PEDROZO & RIBEIRO & DU,Nenhum,"Rua BARAO DE LADARIO, 312",BRAS,São Paulo,5,100,-23.5393113,-46.6190086,78,2025-04-17 12:55:48
,FTY6B82,3728220,213609,ESTRELA DE PORTUGAL CAFETERIA E DOCERIA ,Nenhum,"Rua ELIZA WHITAKER, 119",BRAS,São Paulo,3,60,-23.5359001,-46.6210442,78,2025-04-17 12:55:48
,FTY6B82,3727577,204612,BAR E RESTAURANTE OS GAUCHOS DA CARNOT L,Nenhum,"Rua ALEXANDRINO PEDROSO, 264",CANINDE,São Paulo,10,200,-23.5329151,-46.6212143,78,2025-04-17 12:55:48
,FTY6B82,3727576,186728,BAR E REST. OS GAUCHOS DO BRÁS LTDA ME,Nenhum,"Rua ALEXANDRINO PEDROSO, 247",Canindé,São Paulo,11,220,-23.5328079,-46.6210471,78,2025-04-17 12:55:48
,FTY6B82,3728317,186731,BAR E RESTAURANTE OS GAUCHOS DA SÉ LTDA ,Nenhum,"Rua RODRIGUES SANTOS, 673",Pari,São Paulo,14,280,-23.533157,-46.6192242,78,2025-04-17 12:55:48
,FTY6B82,3727979,8333,CASA DE CARNES PARI LTDA ME,Nenhum,"Rua CAPITÃO MOR PASSOS, 228",Pari,São Paulo,12,240,-23.527587,-46.6153585,78,2025-04-17 12:55:48
,FTY6B82,3728226,214353,CIRCO DA PIZZA LTDA,Nenhum,"Avenida OTTO BAUMGART, 27",Vila Guilherme,São Paulo,3,60,-23.511968,-46.6159879,78,2025-04-17 12:55:48
,FTY6B82,3728244,213653,ACOUGUE TROPICAL COMERCIO DE CARNES E DE,Nenhum,"Rua ALFREDO MARIO PIZZOTI, 136",Vila Guilherme,São Paulo,6,120,-23.5193667,-46.6050853,78,2025-04-17 12:55:48
,FTY6B82,3728144,12830,CASA DE CARNES CARVALHO & FERNANDES LTDA,Nenhum,"Rua PAULO ANDRIGHETTI, 470",Pari,São Paulo,25,500,-23.5263355,-46.6061916,78,2025-04-17 12:55:48
,FTY6B82,3728123,13696,NOVO MERCADO COM. PRODUTOS ALIM. LTDA-ME,Nenhum,"Avenida Guilherme Cotching, 954",Vila Maria,São Paulo,6,120,-23.5207359,-46.5911184,78,2025-04-17 12:55:48
,FTY6B82,3728202,200384,HC CHURRASCARIA E PIZZARIA LTDA,Nenhum,"Rua ALCANTARA, 805",Vila Maria,São Paulo,33,640,-23.5242819,-46.5901326,78,2025-04-17 12:55:48
,FTY6B82,3727930,9082,SUPERMERCADOS MAMBO LTDA,Mambo,"Rua SERRA DE BOTUCATU, 1703",Tatuapé,São Paulo,37,725,-23.5409791,-46.5552198,78,2025-04-17 12:55:48
,FTY6B82,3728415,198263,SUPERMERCADO YAMAUCHI LTDA,Yamauchi,"Rua AZEVEDO SOARES, 2700",Vila Gomes Cardim,São Paulo,5,95,-23.5482754,-46.563284,78,2025-04-17 12:55:48
,FTY6B82,3727980,203000,BIG STEAK CARNES TATUAPE LTDA,Nenhum,"Rua SERRA DO JAPI, 1137",Vila Gomes Cardim,São Paulo,6,120,-23.5487034,-46.5682346,78,2025-04-17 12:55:48
,FTY6B82,3728341,215101,SUPERMERCADO LIDER SAPOPEMBA LTDA,Nenhum,"Avenida SAPOPEMBA, 2769",VILA REGENTE FEIJO,São Paulo,12,225,-23.5652186,-46.5703631,78,2025-04-17 12:55:48
,FTY6B82,3727987,204087,SUPERMERCADO HIROTA LTDA,Hirota,"Avenida DOUTOR EDUARDO COTCHING, 489",Vila Formosa,São Paulo,7,140,-23.5622446,-46.5554894,78,2025-04-17 12:55:48
